"","id","task","stimulus","density","frequency","length","item","rt","log_rt","correct"
"32","L1","lexdec","nonword","high","high","5","shaoe",1.093,0.0889262091944015,TRUE
"33","L1","lexdec","nonword","high","high","5","caoed",0.735,-0.3078847797693,TRUE
"34","L1","lexdec","nonword","high","high","5","mioes",0.969,-0.0314906670913708,TRUE
"35","L1","lexdec","nonword","high","high","6","szores",0.735,-0.3078847797693,TRUE
"36","L1","lexdec","nonword","high","high","6","sxared",0.844,-0.16960278438618,TRUE
"37","L1","lexdec","word","high","high","4","blow",0.875,-0.133531392624523,TRUE
"38","L1","lexdec","word","high","high","4","post",0.828,-0.188742124596877,TRUE
"39","L1","lexdec","word","high","high","5","store",0.828,-0.188742124596877,TRUE
"40","L1","lexdec","word","high","high","5","bound",0.781,-0.247180129142451,TRUE
"41","L1","lexdec","word","high","high","5","forms",0.609,-0.49593701127224,TRUE
"42","L1","lexdec","word","high","high","6","locked",0.765,-0.267879445155601,TRUE
"43","L1","lexdec","word","high","high","6","packed",1,0,TRUE
"44","L1","lexdec","word","high","high","6","failed",0.828,-0.188742124596877,TRUE
"45","L1","lexdec","word","high","high","4","test",0.671,-0.398986142010455,TRUE
"46","L1","lexdec","word","high","high","4","note",0.547,-0.603306476560156,TRUE
"47","L1","lexdec","word","high","high","5","loved",0.859,-0.151986356997882,TRUE
"48","L1","lexdec","word","high","high","5","sales",0.516,-0.661648513500574,TRUE
"49","L1","lexdec","word","high","high","6","finger",0.687,-0.375420986759788,TRUE
"50","L1","lexdec","word","high","high","6","paying",1.032,0.031498667059371,TRUE
"51","L1","lexdec","word","high","high","6","leader",0.688,-0.373966441048793,TRUE
"52","L1","lexdec","word","high","high","4","push",0.687,-0.375420986759788,TRUE
"53","L1","lexdec","word","high","high","4","race",0.672,-0.397496938458987,TRUE
"54","L1","lexdec","word","high","high","5","lower",0.859,-0.151986356997882,TRUE
"55","L1","lexdec","word","high","high","5","waves",0.812,-0.208254938820459,TRUE
"56","L1","lexdec","word","high","high","5","faced",0.922,-0.0812100554255432,TRUE
"57","L1","lexdec","word","high","high","6","pulled",0.766,-0.266573109241546,TRUE
"58","L1","lexdec","word","high","high","6","washed",0.688,-0.373966441048793,TRUE
"59","L1","lexdec","word","high","high","4","tour",0.797,-0.226900600191922,TRUE
"60","L1","lexdec","word","high","high","4","park",0.719,-0.32989392126109,TRUE
"61","L1","lexdec","word","high","high","4","king",0.938,-0.0640053299759124,TRUE
"62","L1","lexdec","word","high","high","5","pages",1.047,0.0459289318883997,TRUE
"63","L1","lexdec","word","high","high","5","beach",0.828,-0.188742124596877,TRUE
"64","L1","lexdec","word","high","high","6","faster",0.672,-0.397496938458987,TRUE
"65","L1","lexdec","word","high","high","6","master",0.672,-0.397496938458987,TRUE
"66","L1","lexdec","word","high","high","4","mark",0.718,-0.331285709933913,TRUE
"67","L1","lexdec","word","high","high","4","feed",0.828,-0.188742124596877,TRUE
"68","L1","lexdec","word","high","high","4","safe",1,0,TRUE
"69","L1","lexdec","word","high","high","5","track",1.094,0.0898407039997895,TRUE
"70","L1","lexdec","word","high","high","5","paint",0.656,-0.421594490038048,TRUE
"71","L1","lexdec","word","high","high","6","stayed",1.094,0.0898407039997895,TRUE
"72","L1","lexdec","word","high","high","6","showed",0.703,-0.352398387171472,TRUE
"73","L1","lexdec","nonword","high","low","4","salf",0.687,-0.375420986759788,TRUE
"74","L1","lexdec","nonword","high","low","4","aive",0.672,-0.397496938458987,TRUE
"75","L1","lexdec","nonword","high","low","5","stams",0.797,-0.226900600191922,TRUE
"76","L1","lexdec","nonword","high","low","5","hiped",0.719,-0.32989392126109,TRUE
"77","L1","lexdec","nonword","high","low","5","dedge",0.828,-0.188742124596877,TRUE
"78","L1","lexdec","nonword","high","low","6","craked",1.125,0.117783035656383,TRUE
"79","L1","lexdec","nonword","high","low","6","blaced",0.625,-0.470003629245736,TRUE
"80","L1","lexdec","nonword","high","low","6","swores",0.844,-0.16960278438618,TRUE
"81","L1","lexdec","nonword","high","low","4","dute",0.813,-0.207024169434327,TRUE
"82","L1","lexdec","nonword","high","low","4","slol",0.781,-0.247180129142451,TRUE
"83","L1","lexdec","nonword","high","low","5","feeks",0.625,-0.470003629245736,TRUE
"84","L1","lexdec","nonword","high","low","6","blaked",0.688,-0.373966441048793,TRUE
"85","L1","lexdec","nonword","high","low","6","lamped",1.234,0.210260925483196,TRUE
"86","L1","lexdec","nonword","high","low","4","mies",1.359,0.306749135169007,TRUE
"87","L1","lexdec","nonword","high","low","4","draz",0.625,-0.470003629245736,TRUE
"88","L1","lexdec","nonword","high","low","5","yails",0.75,-0.287682072451781,TRUE
"89","L1","lexdec","nonword","high","low","5","talts",0.86,-0.150822889734584,TRUE
"90","L1","lexdec","nonword","high","low","5","speep",0.703,-0.352398387171472,TRUE
"91","L1","lexdec","nonword","high","low","6","snocks",2.25,0.810930216216329,TRUE
"92","L1","lexdec","nonword","high","low","6","lanked",1.046,0.0449733656427312,TRUE
"93","L1","lexdec","nonword","high","low","6","blaved",0.594,-0.520875959619492,TRUE
"94","L1","lexdec","nonword","high","low","4","yuts",1.063,0.0610950993598108,TRUE
"95","L1","lexdec","nonword","high","low","4","plap",0.938,-0.0640053299759124,TRUE
"96","L1","lexdec","nonword","high","low","5","rairs",0.578,-0.54818141030976,TRUE
"97","L1","lexdec","nonword","high","low","5","frain",0.875,-0.133531392624523,TRUE
"98","L1","lexdec","nonword","high","low","6","cicked",1.422,0.352064331381049,TRUE
"99","L1","lexdec","nonword","high","low","6","looned",0.859,-0.151986356997882,TRUE
"100","L1","lexdec","nonword","high","low","4","zoss",0.687,-0.375420986759788,TRUE
"101","L1","lexdec","nonword","high","low","4","waip",0.609,-0.49593701127224,TRUE
"102","L1","lexdec","nonword","high","low","4","gark",0.984,-0.0161293819298836,TRUE
"103","L1","lexdec","nonword","high","low","5","saged",1.031,0.0305292050348228,TRUE
"104","L1","lexdec","nonword","high","low","5","snall",0.906,-0.0987159729391577,TRUE
"105","L1","lexdec","nonword","high","low","5","glave",0.969,-0.0314906670913708,TRUE
"106","L1","lexdec","nonword","high","low","6","sulled",0.782,-0.245900538436826,TRUE
"107","L1","lexdec","nonword","high","low","6","mooled",0.719,-0.32989392126109,TRUE
"108","L1","lexdec","word","high","low","4","hush",0.781,-0.247180129142451,TRUE
"109","L1","lexdec","word","high","low","4","worm",1.047,0.0459289318883997,TRUE
"110","L1","lexdec","word","high","low","5","pines",1.109,0.10345870836823,TRUE
"111","L1","lexdec","word","high","low","5","stark",0.828,-0.188742124596877,TRUE
"112","L1","lexdec","word","high","low","6","singer",0.844,-0.16960278438618,TRUE
"113","L1","lexdec","word","high","low","6","cocked",0.781,-0.247180129142451,TRUE
"114","L1","lexdec","word","high","low","4","teen",0.578,-0.54818141030976,TRUE
"115","L1","lexdec","word","high","low","4","coil",0.797,-0.226900600191922,TRUE
"116","L1","lexdec","word","high","low","4","reed",1.453,0.373630384588146,TRUE
"117","L1","lexdec","word","high","low","6","licked",1.875,0.628608659422374,TRUE
"118","L1","lexdec","word","high","low","6","wailed",0.593,-0.522560879984412,TRUE
"119","L1","lexdec","word","high","low","6","ragged",1.016,0.0158733491562902,TRUE
"120","L1","lexdec","word","high","low","4","leak",0.672,-0.397496938458987,TRUE
"121","L1","lexdec","word","high","low","4","hike",0.906,-0.0987159729391577,TRUE
"122","L1","lexdec","word","high","low","5","tunes",1.359,0.306749135169007,TRUE
"123","L1","lexdec","word","high","low","6","soared",0.75,-0.287682072451781,TRUE
"124","L1","lexdec","word","high","low","6","spared",0.828,-0.188742124596877,TRUE
"125","L1","lexdec","word","high","low","4","flaw",0.656,-0.421594490038048,TRUE
"126","L1","lexdec","word","high","low","4","mend",0.937,-0.0650719967437148,TRUE
"127","L1","lexdec","word","high","low","4","lure",0.89,-0.116533816255952,TRUE
"128","L1","lexdec","word","high","low","5","gears",1.188,0.172271220940453,TRUE
"129","L1","lexdec","word","high","low","5","berry",0.703,-0.352398387171472,TRUE
"130","L1","lexdec","word","high","low","6","rocket",0.813,-0.207024169434327,TRUE
"131","L1","lexdec","word","high","low","6","banker",0.828,-0.188742124596877,TRUE
"132","L1","lexdec","word","high","low","4","yell",0.75,-0.287682072451781,TRUE
"133","L1","lexdec","word","high","low","4","rack",1.344,0.295650242100958,TRUE
"134","L1","lexdec","word","high","low","5","waded",0.765,-0.267879445155601,TRUE
"135","L1","lexdec","word","high","low","5","vines",0.766,-0.266573109241546,TRUE
"136","L1","lexdec","word","high","low","5","minus",0.812,-0.208254938820459,TRUE
"137","L1","lexdec","word","high","low","6","hailed",0.906,-0.0987159729391577,TRUE
"138","L1","lexdec","word","high","low","6","tipped",0.812,-0.208254938820459,TRUE
"139","L1","lexdec","nonword","low","high","4","wefg",0.891,-0.115410851511328,TRUE
"140","L1","lexdec","nonword","low","high","4","plau",0.781,-0.247180129142451,TRUE
"141","L1","lexdec","nonword","low","high","5","iogue",0.891,-0.115410851511328,TRUE
"142","L1","lexdec","nonword","low","high","5","phuph",0.875,-0.133531392624523,TRUE
"143","L1","lexdec","nonword","low","high","5","moqld",0.797,-0.226900600191922,TRUE
"144","L1","lexdec","nonword","low","high","6","knenge",0.593,-0.522560879984412,TRUE
"145","L1","lexdec","nonword","low","high","6","triues",0.688,-0.373966441048793,TRUE
"146","L1","lexdec","nonword","low","high","6","flepts",0.735,-0.3078847797693,TRUE
"147","L1","lexdec","nonword","low","high","4","wlus",0.704,-0.350976922824095,TRUE
"148","L1","lexdec","nonword","low","high","4","aerd",0.719,-0.32989392126109,TRUE
"149","L1","lexdec","nonword","low","high","4","muwf",0.563,-0.574475650842447,TRUE
"150","L1","lexdec","nonword","low","high","5","ayped",0.828,-0.188742124596877,TRUE
"151","L1","lexdec","nonword","low","high","5","yarzs",0.484,-0.725670372265505,TRUE
"152","L1","lexdec","nonword","low","high","5","joljs",0.484,-0.725670372265505,TRUE
"153","L1","lexdec","nonword","low","high","6","mhurch",0.562,-0.576253429088446,TRUE
"154","L1","lexdec","nonword","low","high","6","nekved",0.5,-0.693147180559945,TRUE
"155","L1","lexdec","nonword","low","high","4","urae",0.641,-0.444725822061467,TRUE
"156","L1","lexdec","nonword","low","high","4","zryf",0.812,-0.208254938820459,TRUE
"157","L1","lexdec","nonword","low","high","5","rogts",0.672,-0.397496938458987,TRUE
"158","L1","lexdec","nonword","low","high","5","yleak",0.563,-0.574475650842447,TRUE
"159","L1","lexdec","nonword","low","high","6","aooves",0.578,-0.54818141030976,TRUE
"160","L1","lexdec","nonword","low","high","6","lulred",0.625,-0.470003629245736,TRUE
"161","L1","lexdec","nonword","low","high","6","heeied",1.187,0.171429115627531,TRUE
"162","L1","lexdec","nonword","low","high","4","sjiv",0.843,-0.170788320980282,TRUE
"163","L1","lexdec","nonword","low","high","4","niys",0.656,-0.421594490038048,TRUE
"164","L1","lexdec","nonword","low","high","4","zonx",1.109,0.10345870836823,TRUE
"165","L1","lexdec","nonword","low","high","5","dyxes",0.688,-0.373966441048793,TRUE
"166","L1","lexdec","nonword","low","high","5","pikts",0.688,-0.373966441048793,TRUE
"167","L1","lexdec","nonword","low","high","6","eulged",0.656,-0.421594490038048,TRUE
"168","L1","lexdec","nonword","low","high","6","reuged",0.563,-0.574475650842447,TRUE
"169","L1","lexdec","nonword","low","high","6","uifths",0.875,-0.133531392624523,TRUE
"170","L1","lexdec","nonword","low","high","4","dwrm",0.781,-0.247180129142451,TRUE
"171","L1","lexdec","nonword","low","high","4","ioed",0.656,-0.421594490038048,TRUE
"172","L1","lexdec","nonword","low","high","5","smawn",0.797,-0.226900600191922,TRUE
"173","L1","lexdec","nonword","low","high","5","gfmfs",0.609,-0.49593701127224,TRUE
"174","L1","lexdec","nonword","low","high","6","glzzed",0.828,-0.188742124596877,TRUE
"175","L1","lexdec","nonword","low","high","6","lroods",0.86,-0.150822889734584,TRUE
"176","L1","lexdec","word","low","high","4","tree",0.578,-0.54818141030976,TRUE
"177","L1","lexdec","word","low","high","4","evil",0.984,-0.0161293819298836,TRUE
"178","L1","lexdec","word","low","high","5","claim",0.516,-0.661648513500574,TRUE
"179","L1","lexdec","word","low","high","5","tools",0.844,-0.16960278438618,TRUE
"180","L1","lexdec","word","low","high","5","names",0.562,-0.576253429088446,TRUE
"181","L1","lexdec","word","low","high","6","lifted",0.578,-0.54818141030976,TRUE
"182","L1","lexdec","word","low","high","6","raised",0.828,-0.188742124596877,TRUE
"183","L1","lexdec","word","low","high","4","eggs",0.563,-0.574475650842447,TRUE
"184","L1","lexdec","word","low","high","4","knee",0.875,-0.133531392624523,TRUE
"185","L1","lexdec","word","low","high","4","unit",0.64,-0.446287102628419,TRUE
"186","L1","lexdec","word","low","high","5","image",0.828,-0.188742124596877,TRUE
"187","L1","lexdec","word","low","high","5","brief",0.891,-0.115410851511328,TRUE
"188","L1","lexdec","word","low","high","6","normal",0.687,-0.375420986759788,TRUE
"189","L1","lexdec","word","low","high","6","dreams",0.579,-0.546452801409142,TRUE
"190","L1","lexdec","word","low","high","4","desk",0.547,-0.603306476560156,TRUE
"191","L1","lexdec","word","low","high","4","iron",0.844,-0.16960278438618,TRUE
"192","L1","lexdec","word","low","high","4","bird",0.672,-0.397496938458987,TRUE
"193","L1","lexdec","word","low","high","5","towns",0.672,-0.397496938458987,TRUE
"194","L1","lexdec","word","low","high","5","dance",0.828,-0.188742124596877,TRUE
"195","L1","lexdec","word","low","high","5","liked",0.719,-0.32989392126109,TRUE
"196","L1","lexdec","word","low","high","6","weight",0.734,-0.309246250367621,TRUE
"197","L1","lexdec","word","low","high","6","rolled",0.922,-0.0812100554255432,TRUE
"198","L1","lexdec","word","low","high","4","copy",1.625,0.485507815781701,TRUE
"199","L1","lexdec","word","low","high","4","club",0.937,-0.0650719967437148,TRUE
"200","L1","lexdec","word","low","high","5","yards",0.594,-0.520875959619492,TRUE
"201","L1","lexdec","word","low","high","5","limit",0.781,-0.247180129142451,TRUE
"202","L1","lexdec","word","low","high","5","loose",0.813,-0.207024169434327,TRUE
"203","L1","lexdec","word","low","high","6","gained",0.734,-0.309246250367621,TRUE
"204","L1","lexdec","word","low","high","6","smiled",0.641,-0.444725822061467,TRUE
"205","L1","lexdec","word","low","high","6","proved",0.844,-0.16960278438618,TRUE
"206","L1","lexdec","word","low","high","4","sign",1.516,0.41607528722018,TRUE
"207","L1","lexdec","word","low","high","4","onto",0.922,-0.0812100554255432,TRUE
"208","L1","lexdec","word","low","high","5","doors",1.859,0.620038708739307,TRUE
"209","L1","lexdec","word","low","high","5","block",0.593,-0.522560879984412,TRUE
"210","L1","lexdec","word","low","high","6","agreed",0.891,-0.115410851511328,TRUE
"211","L1","lexdec","word","low","high","6","caused",0.687,-0.375420986759788,TRUE
"212","L1","lexdec","word","low","high","6","motion",0.672,-0.397496938458987,TRUE
"213","L1","lexdec","nonword","low","low","4","nege",0.688,-0.373966441048793,TRUE
"214","L1","lexdec","nonword","low","low","4","keph",0.735,-0.3078847797693,TRUE
"215","L1","lexdec","nonword","low","low","5","gilge",0.688,-0.373966441048793,TRUE
"216","L1","lexdec","nonword","low","low","5","kwauc",0.672,-0.397496938458987,TRUE
"217","L1","lexdec","nonword","low","low","6","blorgs",0.672,-0.397496938458987,TRUE
"218","L1","lexdec","nonword","low","low","6","sprour",0.906,-0.0987159729391577,TRUE
"219","L1","lexdec","nonword","low","low","6","cweate",1.375,0.318453731118535,TRUE
"220","L1","lexdec","nonword","low","low","4","pryp",0.515,-0.663588378318401,TRUE
"221","L1","lexdec","nonword","low","low","4","gwil",0.906,-0.0987159729391577,TRUE
"222","L1","lexdec","nonword","low","low","5","scaig",0.656,-0.421594490038048,TRUE
"223","L1","lexdec","nonword","low","low","5","thaik",0.593,-0.522560879984412,TRUE
"224","L1","lexdec","nonword","low","low","6","keched",0.718,-0.331285709933913,TRUE
"225","L1","lexdec","nonword","low","low","6","glabed",0.609,-0.49593701127224,TRUE
"226","L1","lexdec","nonword","low","low","6","skeech",1.922,0.653366310548101,TRUE
"227","L1","lexdec","nonword","low","low","4","merg",0.531,-0.632993257740198,TRUE
"228","L1","lexdec","nonword","low","low","4","veut",0.781,-0.247180129142451,TRUE
"229","L1","lexdec","nonword","low","low","5","highf",0.64,-0.446287102628419,TRUE
"230","L1","lexdec","nonword","low","low","5","clett",0.844,-0.16960278438618,TRUE
"231","L1","lexdec","nonword","low","low","5","throf",0.766,-0.266573109241546,TRUE
"232","L1","lexdec","nonword","low","low","6","slaund",0.828,-0.188742124596877,TRUE
"233","L1","lexdec","nonword","low","low","6","korged",0.829,-0.187535123846842,TRUE
"234","L1","lexdec","nonword","low","low","6","breked",0.829,-0.187535123846842,TRUE
"235","L1","lexdec","nonword","low","low","4","ipce",0.765,-0.267879445155601,TRUE
"236","L1","lexdec","nonword","low","low","4","dwur",1.328,0.283674051054242,TRUE
"237","L1","lexdec","nonword","low","low","5","haivs",0.75,-0.287682072451781,TRUE
"238","L1","lexdec","nonword","low","low","5","scanx",0.75,-0.287682072451781,TRUE
"239","L1","lexdec","nonword","low","low","5","teene",0.75,-0.287682072451781,TRUE
"240","L1","lexdec","nonword","low","low","6","cratts",0.687,-0.375420986759788,TRUE
"241","L1","lexdec","nonword","low","low","6","whoals",0.906,-0.0987159729391577,TRUE
"242","L1","lexdec","nonword","low","low","4","truv",0.594,-0.520875959619492,TRUE
"243","L1","lexdec","nonword","low","low","4","jeev",0.594,-0.520875959619492,TRUE
"244","L1","lexdec","nonword","low","low","5","shond",0.969,-0.0314906670913708,TRUE
"245","L1","lexdec","nonword","low","low","5","pryts",0.688,-0.373966441048793,TRUE
"246","L1","lexdec","nonword","low","low","6","mowlds",0.718,-0.331285709933913,TRUE
"247","L1","lexdec","nonword","low","low","6","froads",2.359,0.858237800425538,TRUE
"248","L1","lexdec","nonword","low","low","6","sponts",1.453,0.373630384588146,TRUE
"249","L1","lexdec","word","low","low","4","wolf",0.812,-0.208254938820459,TRUE
"250","L1","lexdec","word","low","low","4","loaf",0.672,-0.397496938458987,TRUE
"251","L1","lexdec","word","low","low","5","abide",0.875,-0.133531392624523,TRUE
"252","L1","lexdec","word","low","low","5","easel",1.266,0.235862323721984,TRUE
"253","L1","lexdec","word","low","low","5","joins",0.734,-0.309246250367621,TRUE
"254","L1","lexdec","word","low","low","6","nudged",1.125,0.117783035656383,TRUE
"255","L1","lexdec","word","low","low","6","draped",0.969,-0.0314906670913708,TRUE
"256","L1","lexdec","word","low","low","4","grub",2.344,0.851858871714766,TRUE
"257","L1","lexdec","word","low","low","4","soak",0.891,-0.115410851511328,TRUE
"258","L1","lexdec","word","low","low","5","knack",1.125,0.117783035656383,TRUE
"259","L1","lexdec","word","low","low","5","ounce",0.906,-0.0987159729391577,TRUE
"260","L1","lexdec","word","low","low","6","inform",0.843,-0.170788320980282,TRUE
"261","L1","lexdec","word","low","low","6","flexed",1.141,0.131905070879939,TRUE
"262","L1","lexdec","word","low","low","4","wrap",0.688,-0.373966441048793,TRUE
"263","L1","lexdec","word","low","low","5","sofas",0.704,-0.350976922824095,TRUE
"264","L1","lexdec","word","low","low","6","fluent",0.985,-0.0151136378100482,TRUE
"265","L1","lexdec","word","low","low","4","oval",0.89,-0.116533816255952,TRUE
"266","L1","lexdec","word","low","low","4","knit",0.844,-0.16960278438618,TRUE
"267","L1","lexdec","word","low","low","4","hazy",1.484,0.394741144745189,TRUE
"268","L1","lexdec","word","low","low","5","clues",0.657,-0.420071260497527,TRUE
"269","L1","lexdec","word","low","low","5","plush",0.781,-0.247180129142451,TRUE
"270","L1","lexdec","word","low","low","6","risked",0.938,-0.0640053299759124,TRUE
"271","L1","lexdec","word","low","low","6","compel",1,0,TRUE
"272","L1","lexdec","word","low","low","6","masked",0.719,-0.32989392126109,TRUE
"273","L1","lexdec","word","low","low","4","levy",0.719,-0.32989392126109,TRUE
"274","L1","lexdec","word","low","low","4","dual",0.765,-0.267879445155601,TRUE
"275","L1","lexdec","word","low","low","5","hymns",1.422,0.352064331381049,TRUE
"276","L1","lexdec","word","low","low","5","lawns",0.875,-0.133531392624523,TRUE
"277","L1","lexdec","word","low","low","5","marsh",0.907,-0.0976128288670004,TRUE
"278","L1","lexdec","word","low","low","6","glowed",0.766,-0.266573109241546,TRUE
"279","L1","lexdec","word","low","low","6","spiced",1.016,0.0158733491562902,TRUE
"280","L2","lexdec","nonword","high","high","4","uile",0.954,-0.0470916075338506,TRUE
"281","L2","lexdec","nonword","high","high","4","haie",0.907,-0.0976128288670004,TRUE
"282","L2","lexdec","nonword","high","high","5","taies",0.547,-0.603306476560156,TRUE
"283","L2","lexdec","nonword","high","high","5","uares",0.625,-0.470003629245736,TRUE
"284","L2","lexdec","nonword","high","high","6","seaqed",0.984,-0.0161293819298836,TRUE
"285","L2","lexdec","nonword","high","high","6","eapped",0.609,-0.49593701127224,TRUE
"286","L2","lexdec","nonword","high","high","6","eoomed",0.625,-0.470003629245736,TRUE
"287","L2","lexdec","nonword","high","high","4","tiue",0.578,-0.54818141030976,TRUE
"288","L2","lexdec","nonword","high","high","4","diae",0.984,-0.0161293819298836,TRUE
"289","L2","lexdec","nonword","high","high","5","aeeds",1.14,0.131028262406404,TRUE
"290","L2","lexdec","nonword","high","high","5","uands",1.047,0.0459289318883997,TRUE
"291","L2","lexdec","nonword","high","high","5","ioles",0.562,-0.576253429088446,TRUE
"292","L2","lexdec","nonword","high","high","6","qobbed",0.859,-0.151986356997882,TRUE
"293","L2","lexdec","nonword","high","high","6","peeaed",1.063,0.0610950993598108,TRUE
"294","L2","lexdec","nonword","high","high","4","braj",1.187,0.171429115627531,TRUE
"295","L2","lexdec","nonword","high","high","4","aoon",0.891,-0.115410851511328,TRUE
"296","L2","lexdec","nonword","high","high","5","aeals",0.688,-0.373966441048793,TRUE
"297","L2","lexdec","nonword","high","high","5","maqes",0.641,-0.444725822061467,TRUE
"298","L2","lexdec","nonword","high","high","5","ueans",0.75,-0.287682072451781,TRUE
"299","L2","lexdec","nonword","high","high","6","staoes",0.953,-0.048140375327935,TRUE
"300","L2","lexdec","nonword","high","high","6","xashed",0.766,-0.266573109241546,TRUE
"301","L2","lexdec","nonword","high","high","6","grajes",1.156,0.144965770250186,TRUE
"302","L2","lexdec","nonword","high","high","4","uabs",0.578,-0.54818141030976,TRUE
"303","L2","lexdec","nonword","high","high","4","eush",0.766,-0.266573109241546,TRUE
"304","L2","lexdec","nonword","high","high","4","uood",0.672,-0.397496938458987,TRUE
"305","L2","lexdec","nonword","high","high","5","iound",0.609,-0.49593701127224,TRUE
"306","L2","lexdec","nonword","high","high","5","uests",0.938,-0.0640053299759124,TRUE
"307","L2","lexdec","nonword","high","high","6","sjares",0.734,-0.309246250367621,TRUE
"308","L2","lexdec","nonword","high","high","6","sgacks",0.687,-0.375420986759788,TRUE
"309","L2","lexdec","nonword","high","high","4","oang",1.094,0.0898407039997895,TRUE
"310","L2","lexdec","nonword","high","high","4","aied",0.922,-0.0812100554255432,TRUE
"311","L2","lexdec","nonword","high","high","5","shaoe",1.36,0.307484699747961,TRUE
"312","L2","lexdec","nonword","high","high","5","caoed",0.859,-0.151986356997882,TRUE
"313","L2","lexdec","nonword","high","high","6","szores",1,0,TRUE
"314","L2","lexdec","nonword","high","high","6","stajed",0.782,-0.245900538436826,TRUE
"315","L2","lexdec","nonword","high","high","6","aocked",1.078,0.0751074724868055,TRUE
"316","L2","lexdec","word","high","high","4","blow",0.687,-0.375420986759788,TRUE
"317","L2","lexdec","word","high","high","4","list",0.625,-0.470003629245736,TRUE
"318","L2","lexdec","word","high","high","5","lines",0.594,-0.520875959619492,TRUE
"319","L2","lexdec","word","high","high","5","store",0.562,-0.576253429088446,TRUE
"320","L2","lexdec","word","high","high","6","rights",0.641,-0.444725822061467,TRUE
"321","L2","lexdec","word","high","high","6","shared",0.672,-0.397496938458987,TRUE
"322","L2","lexdec","word","high","high","6","locked",0.594,-0.520875959619492,TRUE
"323","L2","lexdec","word","high","high","4","note",2.516,0.922670338838194,TRUE
"324","L2","lexdec","word","high","high","4","pool",0.688,-0.373966441048793,TRUE
"325","L2","lexdec","word","high","high","5","sight",0.813,-0.207024169434327,TRUE
"326","L2","lexdec","word","high","high","5","match",0.812,-0.208254938820459,TRUE
"327","L2","lexdec","word","high","high","5","hills",0.938,-0.0640053299759124,TRUE
"328","L2","lexdec","word","high","high","6","filled",0.797,-0.226900600191922,TRUE
"329","L2","lexdec","word","high","high","6","finger",1.109,0.10345870836823,TRUE
"330","L2","lexdec","word","high","high","4","race",1.078,0.0751074724868055,TRUE
"331","L2","lexdec","word","high","high","4","push",0.922,-0.0812100554255432,TRUE
"332","L2","lexdec","word","high","high","5","lower",0.906,-0.0987159729391577,TRUE
"333","L2","lexdec","word","high","high","5","waves",0.875,-0.133531392624523,TRUE
"334","L2","lexdec","word","high","high","5","grown",0.969,-0.0314906670913708,TRUE
"335","L2","lexdec","word","high","high","6","formed",2.516,0.922670338838194,TRUE
"336","L2","lexdec","word","high","high","6","pulled",0.859,-0.151986356997882,TRUE
